sum = 488117
nV = 500
178 448 -2604
237 409 -2603
154 335 -2600
154 383 -2597
464 468 -2595
164 247 -2548
60 281 -2544
141 169 -2525
369 450 -2512
321 322 -2500
199 200 -2491
240 241 -2489
17 432 -2484
361 362 -2471
390 391 -2466
216 410 -2461
252 253 -2456
376 377 -2445
161 377 -9871
226 495 -2439
97 166 -2437
94 127 -2436
96 204 -2433
348 486 -2415
129 276 -2387
347 418 -2386
266 267 -2373
211 212 -2368
361 488 -2367
122 468 -2361
73 494 -2348
132 491 -2336
395 495 -2332
48 309 -2321
189 225 -2315
357 404 -2310
230 499 -2295
350 482 -2291
437 438 -2279
46 342 -2272
277 326 -2266
76 101 -2248
336 399 -2245
6 7 -2237
31 414 -2222
49 255 -2211
213 364 -2205
262 263 -2202
49 251 -2191
22 479 -2180
217 218 -2164
128 244 -2163
49 279 -2141
25 281 -2140
274 339 -2127
406 420 -2125
309 310 -2124
441 466 -2111
325 437 -2082
204 205 -2078
267 352 -2063
77 339 -2060
170 411 -2058
122 416 -2053
166 356 -2006
9 250 -1984
232 331 -1972
85 482 -1971
81 139 -1971
113 229 -1969
269 270 -1966
51 316 -1958
67 80 -1948
340 484 -1929
198 199 -1925
130 377 -1921
229 239 -1880
43 319 -1878
125 486 -1861
380 439 -1859
104 402 -1853
151 152 -1850
78 292 -1847
39 299 -1837
287 498 -1815
20 336 -1814
292 293 -1806
445 483 -1801
268 412 -1794
260 261 -1791
205 446 -1787
273 478 -1777
41 220 -1776
234 377 -1774
135 500 -1772
92 93 -1766
233 455 -1766
7 314 -1756
17 69 -1754
112 394 -1754
223 224 -1751
320 321 -1747
361 437 -1746
335 336 -1738
237 238 -1734
396 397 -1734
320 330 -1721
279 442 -1719
183 199 -1706
16 369 -1699
484 485 -1698
381 484 -1667
310 454 -1644
410 459 -1638
100 322 -1627
1 324 -1612
446 447 -1603
375 376 -1601
92 386 -1598
6 15 -1593
418 419 -1587
183 184 -1583
355 406 -1579
54 55 -1572
410 478 -1565
137 164 -1564
182 270 -1554
47 103 -1551
405 406 -1525
496 500 -1519
14 64 -1515
63 152 -1476
119 247 -1467
277 298 -1464
114 115 -1462
222 423 -1460
119 398 -1460
44 422 -1459
100 101 -1456
43 406 -1432
183 367 -1432
146 485 -1430
410 467 -1424
213 214 -1421
277 462 -1412
109 249 -1368
113 367 -1358
368 411 -1355
31 267 -1337
301 407 -1315
91 489 -1308
402 469 -1306
154 344 -1295
290 291 -1292
244 374 -1285
179 227 -1273
36 62 -1242
334 491 -1241
50 297 -1225
38 235 -1218
452 489 -1217
460 461 -1208
213 348 -1196
13 164 -1175
40 45 -1173
15 87 -1165
15 242 -1132
138 139 -1128
141 429 -1127
254 322 -1109
208 385 -1105
232 374 -1096
369 370 -1096
248 468 -1092
353 453 -1087
231 482 -1069
420 492 -1060
3 4 -1055
267 350 -1054
351 409 -1048
3 482 -1048
327 424 -1046
31 443 -1030
247 382 -1009
140 397 -1008
167 248 -976
242 289 -955
60 483 -953
253 306 -952
55 188 -944
135 216 -932
115 494 -907
313 475 -902
104 445 -896
355 497 -895
140 141 -887
197 380 -885
434 435 -880
470 471 -875
139 157 -874
33 147 -865
54 367 -863
262 388 -855
354 386 -846
78 79 -841
223 305 -826
146 337 -825
155 156 -823
485 486 -813
325 326 -810
256 438 -794
122 132 -788
259 330 -782
193 443 -772
170 245 -769
38 126 -761
428 429 -760
92 292 -745
353 419 -735
291 292 -730
133 327 -729
185 186 -719
174 492 -694
12 20 -686
82 364 -675
334 335 -675
